id,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,24.99,,,18.71,,,,,,,,,5.07,,3.92,,,,,,3.93,,,,,4,,,2.72,,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,12.48,,,,,,4.98,,,,,,,,,,,,,,,,,,
HIC,0.35,,,0.51,,,0.46,,,0.54,,,0.34,,,0.46,,,0.29,,,0.28,,,0.31,,,0.21,,0.32,0.2,0.21,0.2,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,9.15,,,16.9,20.74,13.4,10.8,8.84,10.64,11.11,13.34,7.78,13.1,12.94,,8.09,15.13,12.61,11.89,13.93,11.4,6.91,6.3,4.82,5.4,7.88,9.25,7.66,6.01,,
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,0.04,,,,,,,,,,0,0.24,0.06,0.05,,,0,,,,0,0,0,0.51,0.57,,,,
HTI,,,,,,,,,,,,,,,,,,,,,27.97,,,,,,,,,,,28.9,,,,
HUN,,,,,,,0.06,,0.02,,,,0.16,,,,,0,0.01,0,0,0,0,0,0.49,,0.21,0.03,0.04,0.08,0.06,0.21,,,,
IBD,22.48,,,17.02,,,13.32,,,13.28,,,12.19,,,9.17,,,8.86,,,7.31,,,5.12,,,4.16,,3.26,2.49,2.13,1.57,,,
IBT,22.11,,,17.76,,,14.82,,,14.69,,,13.94,,,11.28,,,11.03,,,9.77,,,7.4,,,6.33,,5.48,4.76,4.38,3.85,,,
IDA,20.51,,,20.81,,,20.9,,,20.21,,,20.57,,,19.01,,,18.75,,,18.26,,,14.96,,,13.28,,12.44,11.76,11.24,10.71,,,
IDB,19.18,,,18.74,,,19.52,,,17.25,,,16.38,,,14.27,,,14.77,,,14.84,,,10.6,,,9.65,,8.67,8.21,7.9,7.6,,,
IDN,,,,26.66,,,24.97,,,17.2,,,17.06,,,12.37,,21.57,9.5,9.23,7.87,4.3,4.44,5.37,4.43,6.48,4.81,4.35,3.6,2.91,2.36,1.91,1.5,1.25,,
IDX,21.45,,,22.26,,,21.86,,,22.25,,,23.42,,,22.19,,,21.37,,,20.49,,,17.75,,,15.58,,14.79,13.97,13.31,12.64,,,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,,16.69,,,,11.98,,,,,,12.06,,,,,,,,,,,9.19,,,,,6.97,,4.27,,,,,
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,,,,,,1.77,,,,1.52,,,,0.62,,,,0.41,,,,,,,0.54,,,,0.05,,,,0.03,,,
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,,,1.97,,0.88,,,2.56,,,0.82,,,0.72,,,0.73,,0.37,,,,,,,,,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,,,,,,,,0.01,,,,,0.97,,,1.75,,,,,2.56,1.41,0.9,0.51,0.04,0.11,0.09,0.01,0.02,0.02,0.01,0.01,0.01,,,
KEN,,,,,,,,,,,,7.93,,6.38,,,5.59,,,,,,,,11.7,,,,,,,,,,,
KGZ,,,,,,,,0.45,,,,,22.4,,,,,11.6,,11.27,9.26,8.7,6.18,2.78,3.06,1.78,1.99,0.75,0.34,1.09,0.22,0.74,0.48,0.23,,
KHM,,,,,,,,,,,,,,6.42,,,,,,,,,,3.69,,,3.52,1.85,0.76,0.65,0.55,0.28,,,,
KIR,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,,,,,,,,,,,,4.83,,,,,7.45,,,,,5.76,,,,,4.58,,,,,3.61,,,,
LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
